0.00,0.00,0.00,0.00
0.00,0.00,-1.60,0.00
0.00,-0.20,-1.60,-0.20
0.00,-0.20,-1.70,-0.20
0.00,-0.20,-1.80,0.00
0.00,-0.20,-1.90,0.00
0.00,-0.30,-1.90,0.00
0.00,-0.30,-2.00,0.00
0.00,-0.30,-2.10,0.10
0.00,-0.30,-2.20,0.60
0.00,-0.40,-2.20,0.90
0.10,-0.40,-2.10,1.00
0.10,-0.40,-2.00,0.90
0.10,-0.40,-1.90,0.80
0.10,-0.40,-1.80,0.60
0.10,-0.40,-1.70,0.60
0.10,-0.40,-1.60,0.60
0.10,-0.40,-1.50,0.50
0.10,-0.40,-1.40,0.40
0.20,-0.40,-1.30,0.30
0.20,-0.40,-1.20,0.30
0.20,-0.40,-1.10,0.20
0.20,-0.40,-1.00,0.10
0.20,-0.40,-0.90,0.00
0.20,-0.40,-0.80,0.00
0.20,-0.40,-0.70,0.00
0.20,-0.40,-0.60,0.00
0.20,-0.40,-0.50,0.00
0.20,-0.40,-0.40,0.00
0.20,-0.40,-0.30,0.00
0.20,-0.40,-0.20,0.00
0.20,-0.40,0.00,0.00
0.20,-0.40,0.10,0.00
0.20,-0.40,0.20,0.00
0.20,-0.40,0.30,0.00
0.20,-0.40,0.40,0.00
0.20,-0.40,0.50,0.00
0.20,-0.40,0.60,0.00
0.20,-0.40,0.70,0.00
0.20,-0.40,0.80,0.00
0.20,-0.40,0.90,0.00
0.20,-0.40,1.00,0.00
0.20,-0.40,1.10,0.00
0.20,-0.40,1.20,0.00
0.20,-0.40,1.30,0.00
0.20,-0.40,1.40,0.00
0.20,-0.40,1.50,0.00
0.20,-0.40,1.60,0.00
0.20,-0.40,1.70,0.00
0.20,-0.40,1.80,0.00
0.20,-0.40,1.90,0.00
0.20,-0.30,1.90,0.00
0.20,-0.30,2.00,0.00
0.20,-0.30,2.10,0.00
0.20,-0.30,2.20,0.00
0.20,-0.30,2.30,0.00
0.20,-0.30,2.40,0.00
0.20,-0.30,2.50,0.00
0.20,-0.30,2.60,0.00
0.20,-0.30,2.70,0.00
0.20,-0.30,2.80,0.00
0.20,-0.30,2.90,0.00
0.20,-0.30,3.00,0.00
0.20,-0.30,3.10,0.00
0.20,-0.30,3.20,0.00
0.20,-0.30,3.30,0.00
0.20,-0.30,3.40,0.00
0.20,-0.20,3.50,0.00
0.20,-0.20,3.60,0.00
0.20,-0.20,3.70,0.00
0.20,-0.20,3.80,-0.30
0.20,-0.20,3.90,-0.30
0.20,-0.20,4.00,-0.30
0.10,-0.20,4.00,-0.40
0.10,-0.20,4.20,-0.60
0.10,-0.20,4.30,-0.60
0.10,0.00,4.30,-0.70
0.10,0.00,4.40,-0.90
0.10,0.00,4.50,-1.00
0.00,0.00,4.50,-1.00
0.00,0.00,4.60,-1.00
0.00,0.00,4.70,-1.00
-0.20,0.00,4.60,-1.00
-0.20,0.10,4.50,-1.00
-0.20,0.10,4.40,-1.00
-0.20,0.10,4.30,-1.00
-0.30,0.10,4.20,-0.90
-0.30,0.10,4.10,-0.90
-0.30,0.10,4.00,-0.80
-0.30,0.10,3.90,-0.80
-0.30,0.10,3.70,-0.60
-0.30,0.10,3.60,-0.60
-0.30,0.10,3.50,-0.50
-0.30,0.10,3.40,-0.50
-0.30,0.10,3.30,-0.40
-0.30,0.10,3.20,-0.40
-0.30,0.20,3.00,-0.30
-0.30,0.20,2.90,-0.30
-0.30,0.20,2.80,-0.20
-0.30,0.20,2.70,0.00
-0.30,0.20,2.60,0.00
-0.30,0.20,2.50,0.00
-0.30,0.20,2.30,0.00
-0.30,0.20,2.20,0.00
-0.30,0.20,2.10,0.00
-0.30,0.20,2.00,0.00
-0.30,0.20,1.90,0.00
-0.30,0.20,1.80,0.00
-0.30,0.20,1.70,0.00
-0.30,0.20,1.60,0.00
-0.30,0.20,1.50,0.00
-0.30,0.20,1.40,0.00
-0.30,0.20,1.30,0.00
-0.30,0.20,1.20,0.00
-0.30,0.20,1.00,0.00
-0.30,0.20,0.90,0.00
-0.30,0.20,0.80,0.00
-0.30,0.20,0.70,0.00
-0.30,0.20,0.60,0.00
-0.30,0.20,0.50,0.00
-0.30,0.20,0.40,0.00
-0.30,0.20,0.30,0.00
-0.30,0.20,0.20,0.00
-0.30,0.20,0.10,0.00
-0.30,0.20,0.00,0.00
-0.30,0.20,-0.20,0.00
-0.30,0.20,-0.40,0.00
-0.30,0.20,-0.50,0.00
-0.30,0.20,-0.60,0.00
-0.30,0.20,-0.70,0.00
-0.30,0.20,-0.80,0.00
-0.30,0.20,-0.90,0.00
-0.30,0.20,-1.00,0.00
-0.30,0.20,-1.10,0.00
-0.30,0.20,-1.20,0.00
-0.30,0.20,-1.30,0.00
-0.30,0.20,-1.40,0.00
-0.20,0.20,-1.40,0.60
-0.20,0.10,-1.40,0.50
-0.20,0.10,-2.60,0.40
-0.20,0.10,-2.90,0.00
-0.20,0.10,-3.00,0.00
-0.20,0.10,-3.10,0.00
-0.20,0.10,-3.20,0.00
-0.20,0.10,-3.30,0.00
-0.20,0.10,-3.40,0.00
-0.20,0.00,-3.40,0.00
-0.20,0.00,-3.50,0.00
-0.20,0.00,-3.60,0.00
-0.20,0.00,-3.70,0.00
-0.20,0.00,-3.80,0.10
-0.20,0.00,-3.90,0.20
-0.20,0.00,-4.00,0.40
-0.20,0.00,-4.10,0.50
0.00,0.00,-4.10,0.60
0.00,0.00,-4.20,0.70
0.00,0.00,-4.30,0.90
0.00,-0.20,-4.30,1.00
0.00,-0.20,-4.20,1.00
0.10,-0.20,-4.20,1.00
0.10,-0.20,-4.10,1.00
0.10,-0.20,-4.00,0.70
0.10,-0.20,-3.90,0.70
0.10,-0.20,-3.80,0.60
0.20,-0.20,-3.70,0.50
0.20,-0.20,-3.60,0.40
0.20,-0.30,-3.50,0.40
